date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:09:56	5305/5305	---M--	200	added ('OK')	text/javascript	etag:%22400b7-14b9-51da9c2d21f7e%22	http://designtab.nitrkl.ac.in/source/helpers/jquery.fancybox-media.js?v=1.0.6	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/source/helpers/jquery.fancybox-mediac924.js	(from http://designtab.nitrkl.ac.in/3d.html)
12:09:56	9411/9411	---M--	200	added ('OK')	text/css	etag:%2240073-24c3-51da9c2d046d7%22	http://designtab.nitrkl.ac.in/css/team/normalize.css	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/team/normalize.css	(from http://designtab.nitrkl.ac.in/css/team/demo.css)
12:09:57	215/215	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2028%20May%202019%2006:47:26%20GMT	http://designtab.nitrkl.ac.in/css/images/bg.jpg	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/images/bg.39.delayed	(from http://designtab.nitrkl.ac.in/css/team/demo.css)
12:09:58	231266/231266	---M--	200	added ('OK')	image/png	etag:%22400cd-38762-51da9c6d14d15%22	http://designtab.nitrkl.ac.in/images/3d/img/10.png	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/images/3d/img/10.png	(from http://designtab.nitrkl.ac.in/3d.html)
12:10:05	57635/57635	---M--	200	added ('OK')	image/jpeg	etag:%224002e-e123-51da9c2ce471e%22	http://designtab.nitrkl.ac.in/css/images/10.jpg	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/images/10.jpg	(from http://designtab.nitrkl.ac.in/css/team/style4.css)
12:10:06	55168/55168	---M--	200	added ('OK')	image/jpeg	etag:%2240030-d780-51da9c2ce56be%22	http://designtab.nitrkl.ac.in/css/images/12.jpg	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/images/12.jpg	(from http://designtab.nitrkl.ac.in/css/team/style4.css)
12:10:07	75842/75842	---M--	200	added ('OK')	image/jpeg	etag:%224002f-12842-51da9c2ce4eed%22	http://designtab.nitrkl.ac.in/css/images/11.jpg	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/images/11.jpg	(from http://designtab.nitrkl.ac.in/css/team/style4.css)
12:10:12	57655/57655	---M--	200	added ('OK')	image/jpeg	etag:%2240031-e137-51da9c2ce5e8d%22	http://designtab.nitrkl.ac.in/css/images/13.jpg	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/images/13.jpg	(from http://designtab.nitrkl.ac.in/css/team/style4.css)
12:10:16	66922/66922	---M--	200	added ('OK')	image/jpeg	etag:%2240033-1056a-51da9c2ce6e2d%22	http://designtab.nitrkl.ac.in/css/images/15.jpg	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/images/15.jpg	(from http://designtab.nitrkl.ac.in/css/team/style4.css)
12:10:18	92220/92220	---M--	200	added ('OK')	image/jpeg	etag:%2240032-1683c-51da9c2ce665d%22	http://designtab.nitrkl.ac.in/css/images/14.jpg	F:/Design%20Tab%20Official%20Website/designtab.nitrkl.ac.in/css/images/14.jpg	(from http://designtab.nitrkl.ac.in/css/team/style4.css)
